Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Diallo Ismael,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Diallo Ismael,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Timite Cheick,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Tie Nicolas,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Ouattara Zie,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Nagoli Maxime,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Singo Wilfried,Côte d'Ivoire,Neves Christophe,Côte d’Ivoire,0.0
Singo Wilfried,Côte d'Ivoire,Koffi Anthony,Côte d’Ivoire,0.0
Singo Wilfried,Côte d'Ivoire,Jerome Essapa,Côte d’Ivoire,0.0
Singo Wilfried,Côte d'Ivoire,Adama Cherif,Côte d’Ivoire,0.0
Singo Wilfried,Côte d'Ivoire,Haidara Soualiho,Côte d’Ivoire,0.0
Haddadi Hamed,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Hassanzadeh Mohammad,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Geramipoor Aaron,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Davarpanah Saeid,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Kazemi Arsalan,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Jamshidijafarabadi Mohammad,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Jalalpoor Pujan,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Rostampour Michael,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Nik Khahbahrami Mohammadsamad,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Yakhchalidehkordi Behnam,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Rezaeifar Navid,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Vahedi Mohammadsina,Islamic Republic of Iran,Shahintab Mehran,Islamic Rep. of Iran,3.0
Ebadipour Ghara H. Milad,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Ghafour Amir,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Karimisouchelmaei Javad,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Kazemi Saber,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Gholami Masoud,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Salehi Arman,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Mojarad Aliasghar,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Marouflakrani Mir Saeid,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Sharifi Morteza,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Salehi Meisam,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Marandi Mahdi,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Mousavi Eraghi Seyed Mohammad,Islamic Republic of Iran,Alekno Vladimir,Islamic Rep. of Iran,3.0
Hansson Elin,Sweden,Solberg Glenn,Sweden,3.0
Hansson Elin,Sweden,Axner Tomas,Sweden,3.0
Bundsen Johanna,Sweden,Solberg Glenn,Sweden,3.0
Bundsen Johanna,Sweden,Axner Tomas,Sweden,3.0
Gottfridsson Jim,Sweden,Solberg Glenn,Sweden,3.0
Gottfridsson Jim,Sweden,Axner Tomas,Sweden,3.0
Aggefors Mikael,Sweden,Solberg Glenn,Sweden,3.0
Aggefors Mikael,Sweden,Axner Tomas,Sweden,3.0
Ekberg Niclas,Sweden,Solberg Glenn,Sweden,3.0
Ekberg Niclas,Sweden,Axner Tomas,Sweden,3.0
Blohm Linn,Sweden,Solberg Glenn,Sweden,3.0
Blohm Linn,Sweden,Axner Tomas,Sweden,3.0
Dano Nina,Sweden,Solberg Glenn,Sweden,3.0
Dano Nina,Sweden,Axner Tomas,Sweden,3.0
Hagman Nathalie,Sweden,Solberg Glenn,Sweden,3.0
Hagman Nathalie,Sweden,Axner Tomas,Sweden,3.0
Darj Max,Sweden,Solberg Glenn,Sweden,3.0
Darj Max,Sweden,Axner Tomas,Sweden,3.0
Carlson Jenny,Sweden,Solberg Glenn,Sweden,3.0
Carlson Jenny,Sweden,Axner Tomas,Sweden,3.0
Carlsbogard Jonathan,Sweden,Solberg Glenn,Sweden,3.0
Carlsbogard Jonathan,Sweden,Axner Tomas,Sweden,3.0
Petren Melissa,Sweden,Solberg Glenn,Sweden,3.0
Petren Melissa,Sweden,Axner Tomas,Sweden,3.0
Pettersson Fredric,Sweden,Solberg Glenn,Sweden,3.0
Pettersson Fredric,Sweden,Axner Tomas,Sweden,3.0
Stromberg Carin,Sweden,Solberg Glenn,Sweden,3.0
Stromberg Carin,Sweden,Axner Tomas,Sweden,3.0
Lagerquist Anna,Sweden,Solberg Glenn,Sweden,3.0
Lagerquist Anna,Sweden,Axner Tomas,Sweden,3.0
Sunnefeldt Oskar,Sweden,Solberg Glenn,Sweden,3.0
Sunnefeldt Oskar,Sweden,Axner Tomas,Sweden,3.0
Thorleifsdottir Kristin,Sweden,Solberg Glenn,Sweden,3.0
Thorleifsdottir Kristin,Sweden,Axner Tomas,Sweden,3.0
Sandell Lukas,Sweden,Solberg Glenn,Sweden,3.0
Sandell Lukas,Sweden,Axner Tomas,Sweden,3.0
Lundstrom Mathilda,Sweden,Solberg Glenn,Sweden,3.0
Lundstrom Mathilda,Sweden,Axner Tomas,Sweden,3.0
Roberts Jamina,Sweden,Solberg Glenn,Sweden,3.0
Roberts Jamina,Sweden,Axner Tomas,Sweden,3.0
Ryde Jessica,Sweden,Solberg Glenn,Sweden,3.0
Ryde Jessica,Sweden,Axner Tomas,Sweden,3.0
Wanne Hampus,Sweden,Solberg Glenn,Sweden,3.0
Wanne Hampus,Sweden,Axner Tomas,Sweden,3.0
Palicka Andreas,Sweden,Solberg Glenn,Sweden,3.0
Palicka Andreas,Sweden,Axner Tomas,Sweden,3.0
Lagergren Albin,Sweden,Solberg Glenn,Sweden,3.0
Lagergren Albin,Sweden,Axner Tomas,Sweden,3.0
Pettersson Daniel,Sweden,Solberg Glenn,Sweden,3.0
Pettersson Daniel,Sweden,Axner Tomas,Sweden,3.0
